1-响应时间, 1-执行时间, 1-执行成本,3-响应时间, 3-运输时间, 3-执行时间, 3-运输成本, 3-执行成本
26.0,17.0,107.0,12.0,50.0,21.0,76.0,34.0
85.0,61.0,83.0,15.0,10.0,76.0,6.0,93.0
56.0,23.0,124.0,71.0,30.0,67.0,52.0,79.0
40.0,51.0,45.0,74.0,44.0,86.0,136.0,134.0
71.0,83.0,44.0,48.0,49.0,60.0,27.0,31.0
87.0,6.0,96.0,38.0,40.0,36.0,36.0,60.0
85.0,49.0,38.0,34.0,68.0,32.0,126.0,121.0
72.0,42.0,86.0,10.0,49.0,16.0,91.0,49.0
74.0,17.0,26.0,84.0,88.0,78.0,16.0,127.0
87.0,67.0,92.0,14.0,16.0,25.0,38.0,26.0
64.0,40.0,149.0,31.0,14.0,53.0,48.0,143.0
74.0,29.0,96.0,25.0,27.0,17.0,49.0,95.0
74.0,22.0,50.0,77.0,5.0,70.0,70.0,18.0
17.0,9.0,111.0,75.0,33.0,80.0,58.0,93.0
57.0,26.0,94.0,8.0,70.0,79.0,124.0,98.0
68.0,21.0,96.0,77.0,76.0,15.0,10.0,146.0
13.0,17.0,73.0,46.0,59.0,13.0,147.0,117.0
