1-响应时间, 1-执行时间, 1-执行成本,2-响应时间, 2-运输时间, 2-运输成本,3-响应时间, 3-运输时间, 3-执行时间, 3-运输成本, 3-执行成本
8.0,90.0,145.0,16.0,43.0,45.0,84.0,63.0,84.0,96.0,72.0
9.0,30.0,76.0,63.0,56.0,27.0,80.0,19.0,64.0,96.0,38.0
63.0,43.0,78.0,58.0,56.0,15.0,30.0,35.0,48.0,27.0,92.0
53.0,10.0,119.0,5.0,79.0,7.0,54.0,78.0,75.0,103.0,96.0
68.0,9.0,54.0,40.0,18.0,60.0,21.0,44.0,88.0,89.0,13.0
38.0,7.0,126.0,47.0,85.0,138.0,87.0,80.0,65.0,12.0,63.0
36.0,27.0,108.0,48.0,18.0,79.0,65.0,39.0,28.0,149.0,40.0
47.0,46.0,89.0,46.0,81.0,35.0,8.0,39.0,63.0,146.0,129.0
42.0,12.0,73.0,59.0,5.0,115.0,76.0,51.0,72.0,63.0,119.0
19.0,11.0,108.0,69.0,12.0,133.0,65.0,54.0,73.0,30.0,85.0
79.0,75.0,148.0,6.0,31.0,114.0,17.0,42.0,77.0,122.0,66.0
60.0,11.0,123.0,19.0,46.0,9.0,47.0,23.0,67.0,67.0,76.0
54.0,86.0,23.0,9.0,6.0,102.0,47.0,11.0,55.0,65.0,101.0
49.0,17.0,89.0,31.0,18.0,80.0,39.0,81.0,80.0,92.0,65.0
75.0,40.0,126.0,40.0,28.0,38.0,82.0,79.0,88.0,22.0,38.0
68.0,24.0,112.0,81.0,11.0,113.0,50.0,32.0,67.0,48.0,47.0
13.0,30.0,67.0,87.0,29.0,43.0,88.0,82.0,62.0,49.0,27.0
12.0,80.0,138.0,66.0,47.0,38.0,13.0,46.0,27.0,10.0,8.0
79.0,69.0,75.0,13.0,70.0,142.0,25.0,40.0,43.0,81.0,51.0
21.0,59.0,24.0,52.0,24.0,85.0,14.0,66.0,70.0,90.0,108.0
79.0,81.0,131.0,87.0,28.0,73.0,53.0,77.0,23.0,36.0,69.0
72.0,37.0,89.0,23.0,64.0,132.0,88.0,41.0,81.0,39.0,18.0
33.0,73.0,19.0,59.0,51.0,100.0,42.0,79.0,86.0,62.0,72.0
6.0,5.0,55.0,12.0,39.0,125.0,61.0,24.0,76.0,54.0,16.0
20.0,16.0,142.0,55.0,83.0,123.0,74.0,38.0,26.0,23.0,83.0
13.0,63.0,133.0,65.0,59.0,14.0,26.0,13.0,86.0,108.0,120.0
20.0,18.0,120.0,72.0,70.0,100.0,48.0,62.0,78.0,105.0,29.0
88.0,14.0,44.0,87.0,41.0,18.0,17.0,49.0,59.0,129.0,49.0
76.0,26.0,76.0,71.0,47.0,145.0,27.0,69.0,63.0,5.0,8.0
12.0,34.0,98.0,59.0,62.0,102.0,9.0,49.0,67.0,77.0,82.0
16.0,69.0,28.0,66.0,25.0,94.0,73.0,73.0,18.0,83.0,96.0
15.0,51.0,100.0,22.0,39.0,98.0,20.0,57.0,74.0,147.0,31.0
50.0,88.0,87.0,85.0,36.0,34.0,12.0,57.0,7.0,72.0,23.0
29.0,41.0,88.0,5.0,73.0,112.0,20.0,15.0,89.0,100.0,124.0
88.0,25.0,133.0,52.0,66.0,108.0,67.0,7.0,24.0,142.0,99.0
25.0,83.0,124.0,37.0,27.0,147.0,46.0,53.0,41.0,74.0,23.0
26.0,35.0,11.0,49.0,15.0,8.0,14.0,73.0,42.0,84.0,74.0
87.0,58.0,48.0,11.0,42.0,102.0,85.0,40.0,31.0,75.0,115.0
37.0,84.0,105.0,28.0,76.0,103.0,31.0,85.0,30.0,38.0,135.0
75.0,62.0,134.0,6.0,52.0,99.0,14.0,21.0,14.0,135.0,17.0
10.0,40.0,121.0,22.0,57.0,7.0,46.0,15.0,74.0,11.0,103.0
49.0,11.0,93.0,63.0,84.0,53.0,73.0,67.0,85.0,90.0,11.0
58.0,51.0,109.0,67.0,69.0,25.0,35.0,88.0,85.0,130.0,105.0
52.0,87.0,53.0,52.0,53.0,77.0,88.0,32.0,50.0,121.0,116.0
71.0,78.0,81.0,61.0,47.0,79.0,37.0,28.0,18.0,126.0,114.0
57.0,45.0,33.0,22.0,72.0,82.0,75.0,72.0,89.0,120.0,8.0
71.0,43.0,148.0,78.0,26.0,93.0,87.0,59.0,78.0,150.0,110.0
21.0,48.0,128.0,10.0,72.0,10.0,67.0,31.0,29.0,142.0,65.0
29.0,88.0,35.0,59.0,17.0,109.0,56.0,24.0,42.0,137.0,109.0
24.0,29.0,144.0,80.0,61.0,103.0,18.0,12.0,22.0,67.0,8.0
25.0,63.0,38.0,56.0,25.0,99.0,58.0,60.0,78.0,56.0,33.0
80.0,54.0,70.0,85.0,45.0,100.0,41.0,23.0,41.0,95.0,150.0
28.0,68.0,91.0,84.0,39.0,66.0,61.0,9.0,33.0,120.0,47.0
45.0,89.0,138.0,49.0,84.0,88.0,11.0,90.0,15.0,75.0,63.0
27.0,86.0,10.0,32.0,51.0,79.0,49.0,46.0,77.0,85.0,123.0
74.0,53.0,9.0,58.0,65.0,145.0,39.0,60.0,18.0,69.0,47.0
32.0,19.0,96.0,82.0,61.0,149.0,33.0,36.0,47.0,52.0,34.0
61.0,85.0,14.0,86.0,86.0,47.0,28.0,43.0,66.0,46.0,38.0
26.0,39.0,112.0,30.0,36.0,145.0,52.0,54.0,11.0,124.0,5.0
26.0,10.0,103.0,31.0,39.0,32.0,72.0,43.0,57.0,62.0,9.0
58.0,90.0,146.0,26.0,30.0,148.0,19.0,90.0,34.0,148.0,148.0
48.0,10.0,103.0,89.0,42.0,88.0,89.0,66.0,67.0,36.0,69.0
77.0,55.0,66.0,9.0,51.0,107.0,65.0,17.0,67.0,11.0,33.0
28.0,18.0,148.0,13.0,58.0,140.0,54.0,46.0,61.0,137.0,77.0
60.0,38.0,52.0,80.0,47.0,149.0,74.0,65.0,72.0,89.0,129.0
8.0,18.0,130.0,45.0,46.0,144.0,10.0,90.0,27.0,111.0,80.0
26.0,22.0,16.0,29.0,23.0,135.0,23.0,41.0,14.0,94.0,144.0
40.0,5.0,24.0,30.0,13.0,46.0,18.0,88.0,33.0,38.0,72.0
49.0,86.0,122.0,89.0,50.0,41.0,86.0,34.0,86.0,61.0,69.0
