1-响应时间, 1-执行时间, 1-执行成本,2-响应时间, 2-运输时间, 2-运输成本,3-响应时间, 3-运输时间, 3-执行时间, 3-运输成本, 3-执行成本
55.0,35.0,97.0,27.0,7.0,66.0,11.0,24.0,78.0,44.0,11.0
45.0,15.0,60.0,84.0,27.0,10.0,47.0,56.0,57.0,19.0,80.0
42.0,31.0,44.0,52.0,55.0,147.0,64.0,61.0,28.0,28.0,148.0
21.0,69.0,65.0,40.0,11.0,58.0,21.0,22.0,55.0,64.0,21.0
61.0,19.0,70.0,60.0,53.0,114.0,56.0,25.0,80.0,32.0,15.0
88.0,22.0,84.0,81.0,42.0,40.0,23.0,59.0,50.0,136.0,35.0
20.0,57.0,28.0,30.0,69.0,88.0,67.0,48.0,52.0,105.0,104.0
74.0,52.0,32.0,24.0,58.0,104.0,42.0,60.0,89.0,84.0,53.0
83.0,73.0,112.0,70.0,48.0,87.0,51.0,44.0,45.0,137.0,42.0
26.0,10.0,39.0,42.0,55.0,33.0,8.0,27.0,16.0,145.0,26.0
56.0,23.0,107.0,36.0,53.0,81.0,56.0,27.0,23.0,140.0,141.0
48.0,17.0,89.0,20.0,39.0,121.0,72.0,37.0,55.0,80.0,72.0
7.0,20.0,43.0,90.0,41.0,105.0,42.0,76.0,20.0,34.0,37.0
10.0,6.0,48.0,24.0,68.0,148.0,87.0,83.0,52.0,66.0,87.0
8.0,81.0,69.0,30.0,75.0,140.0,11.0,64.0,75.0,70.0,19.0
70.0,29.0,126.0,68.0,62.0,138.0,47.0,37.0,70.0,32.0,47.0
6.0,57.0,20.0,44.0,8.0,15.0,24.0,83.0,61.0,61.0,105.0
25.0,61.0,96.0,30.0,45.0,30.0,22.0,28.0,43.0,150.0,49.0
38.0,31.0,109.0,90.0,55.0,20.0,23.0,31.0,54.0,57.0,110.0
6.0,55.0,76.0,24.0,10.0,50.0,17.0,88.0,78.0,28.0,70.0
6.0,63.0,125.0,51.0,76.0,97.0,33.0,76.0,14.0,109.0,87.0
26.0,25.0,12.0,52.0,61.0,96.0,56.0,17.0,64.0,48.0,88.0
84.0,43.0,75.0,83.0,80.0,37.0,19.0,83.0,15.0,114.0,141.0
68.0,16.0,66.0,13.0,78.0,134.0,83.0,12.0,52.0,52.0,11.0
6.0,44.0,22.0,85.0,29.0,44.0,14.0,78.0,63.0,46.0,67.0
6.0,44.0,17.0,23.0,34.0,132.0,15.0,65.0,64.0,122.0,100.0
57.0,86.0,8.0,61.0,28.0,67.0,84.0,28.0,33.0,33.0,74.0
13.0,88.0,94.0,90.0,29.0,51.0,82.0,57.0,52.0,52.0,109.0
83.0,26.0,74.0,23.0,57.0,147.0,18.0,90.0,7.0,118.0,7.0
63.0,50.0,20.0,50.0,38.0,38.0,78.0,90.0,88.0,44.0,42.0
71.0,89.0,104.0,78.0,55.0,37.0,79.0,72.0,80.0,97.0,94.0
58.0,10.0,132.0,89.0,47.0,103.0,38.0,74.0,19.0,74.0,141.0
59.0,65.0,15.0,34.0,19.0,99.0,71.0,65.0,58.0,66.0,72.0
81.0,33.0,115.0,25.0,20.0,35.0,52.0,73.0,80.0,14.0,126.0
51.0,65.0,125.0,53.0,78.0,43.0,30.0,53.0,40.0,89.0,150.0
81.0,31.0,46.0,45.0,16.0,83.0,33.0,62.0,51.0,126.0,18.0
43.0,72.0,39.0,10.0,47.0,125.0,5.0,21.0,18.0,52.0,85.0
49.0,28.0,32.0,49.0,28.0,133.0,28.0,28.0,73.0,10.0,41.0
22.0,6.0,58.0,67.0,83.0,16.0,88.0,69.0,39.0,111.0,56.0
20.0,80.0,108.0,10.0,48.0,6.0,12.0,51.0,86.0,73.0,75.0
77.0,11.0,40.0,85.0,75.0,73.0,68.0,49.0,84.0,55.0,113.0
66.0,21.0,145.0,51.0,52.0,17.0,11.0,80.0,76.0,6.0,57.0
15.0,68.0,119.0,29.0,58.0,21.0,61.0,90.0,15.0,72.0,109.0
84.0,60.0,121.0,43.0,11.0,63.0,58.0,73.0,49.0,81.0,42.0
81.0,73.0,139.0,81.0,5.0,107.0,82.0,48.0,10.0,148.0,110.0
65.0,10.0,82.0,23.0,24.0,43.0,87.0,67.0,8.0,139.0,47.0
52.0,21.0,97.0,39.0,48.0,13.0,89.0,80.0,40.0,48.0,100.0
36.0,81.0,99.0,40.0,66.0,127.0,89.0,9.0,88.0,131.0,37.0
18.0,27.0,60.0,73.0,38.0,82.0,42.0,72.0,88.0,40.0,36.0
12.0,54.0,97.0,60.0,12.0,81.0,22.0,40.0,47.0,126.0,128.0
31.0,74.0,147.0,79.0,6.0,48.0,89.0,61.0,67.0,46.0,56.0
22.0,25.0,148.0,13.0,11.0,105.0,88.0,77.0,30.0,65.0,12.0
14.0,40.0,93.0,7.0,64.0,42.0,71.0,56.0,57.0,149.0,29.0
78.0,43.0,50.0,86.0,9.0,91.0,74.0,77.0,37.0,27.0,39.0
50.0,74.0,51.0,51.0,31.0,124.0,72.0,56.0,77.0,103.0,41.0
