1-响应时间, 1-执行时间, 1-执行成本,2-响应时间, 2-运输时间, 2-运输成本,3-响应时间, 3-运输时间, 3-执行时间, 3-运输成本, 3-执行成本
56.0,27.0,65.0,55.0,72.0,72.0,28.0,23.0,73.0,88.0,48.0
21.0,16.0,46.0,79.0,83.0,103.0,13.0,84.0,89.0,6.0,119.0
88.0,84.0,39.0,16.0,87.0,80.0,82.0,27.0,56.0,142.0,96.0
57.0,25.0,49.0,50.0,58.0,52.0,43.0,80.0,52.0,100.0,109.0
47.0,52.0,77.0,78.0,64.0,15.0,12.0,84.0,11.0,5.0,59.0
44.0,74.0,35.0,45.0,66.0,119.0,46.0,61.0,72.0,116.0,43.0
37.0,34.0,122.0,17.0,64.0,54.0,6.0,62.0,55.0,69.0,15.0
45.0,41.0,75.0,84.0,88.0,80.0,75.0,31.0,20.0,143.0,47.0
66.0,76.0,6.0,89.0,67.0,102.0,53.0,76.0,40.0,81.0,41.0
59.0,32.0,39.0,65.0,77.0,117.0,15.0,29.0,60.0,101.0,97.0
9.0,9.0,76.0,38.0,20.0,78.0,72.0,77.0,51.0,28.0,143.0
20.0,76.0,54.0,42.0,79.0,150.0,26.0,67.0,39.0,80.0,95.0
30.0,78.0,105.0,11.0,56.0,134.0,63.0,6.0,16.0,78.0,55.0
64.0,88.0,16.0,63.0,12.0,39.0,59.0,27.0,34.0,133.0,30.0
48.0,11.0,147.0,84.0,87.0,21.0,5.0,46.0,72.0,20.0,5.0
32.0,61.0,70.0,36.0,32.0,46.0,33.0,63.0,45.0,7.0,63.0
7.0,90.0,49.0,40.0,34.0,118.0,63.0,19.0,26.0,74.0,64.0
34.0,58.0,150.0,40.0,9.0,112.0,69.0,9.0,49.0,84.0,27.0
60.0,56.0,111.0,37.0,72.0,83.0,25.0,24.0,10.0,135.0,103.0
65.0,58.0,70.0,47.0,25.0,6.0,71.0,10.0,57.0,138.0,123.0
5.0,80.0,137.0,45.0,10.0,53.0,84.0,71.0,87.0,123.0,127.0
87.0,61.0,115.0,53.0,70.0,28.0,25.0,58.0,47.0,111.0,39.0
45.0,13.0,33.0,52.0,81.0,87.0,75.0,37.0,25.0,55.0,72.0
21.0,15.0,81.0,24.0,63.0,135.0,78.0,69.0,75.0,7.0,125.0
73.0,37.0,145.0,16.0,59.0,31.0,21.0,5.0,42.0,126.0,129.0
35.0,51.0,7.0,31.0,16.0,111.0,81.0,6.0,14.0,94.0,75.0
48.0,18.0,131.0,6.0,17.0,18.0,13.0,23.0,81.0,92.0,47.0
64.0,23.0,139.0,61.0,55.0,63.0,86.0,87.0,79.0,23.0,115.0
26.0,89.0,50.0,32.0,25.0,44.0,30.0,52.0,5.0,99.0,74.0
71.0,88.0,142.0,87.0,83.0,127.0,73.0,56.0,9.0,41.0,53.0
58.0,62.0,77.0,76.0,33.0,133.0,71.0,68.0,86.0,10.0,39.0
85.0,64.0,105.0,7.0,42.0,63.0,30.0,7.0,13.0,18.0,39.0
18.0,35.0,13.0,70.0,36.0,149.0,25.0,8.0,68.0,87.0,82.0
44.0,29.0,86.0,42.0,72.0,136.0,82.0,59.0,7.0,88.0,59.0
15.0,12.0,41.0,43.0,42.0,52.0,90.0,27.0,49.0,127.0,80.0
81.0,75.0,17.0,53.0,68.0,29.0,75.0,51.0,59.0,117.0,64.0
61.0,69.0,71.0,31.0,51.0,108.0,6.0,75.0,70.0,6.0,109.0
32.0,49.0,94.0,60.0,60.0,125.0,18.0,29.0,88.0,126.0,16.0
23.0,66.0,61.0,52.0,75.0,64.0,44.0,37.0,10.0,80.0,25.0
89.0,55.0,29.0,10.0,68.0,19.0,87.0,28.0,19.0,57.0,118.0
67.0,63.0,37.0,86.0,44.0,110.0,26.0,76.0,49.0,145.0,149.0
17.0,6.0,52.0,61.0,18.0,59.0,53.0,19.0,5.0,82.0,102.0
17.0,10.0,26.0,38.0,38.0,70.0,67.0,67.0,35.0,141.0,72.0
